trans_id,buffercheck,street_direction,street_name,street_type,second_street_direction,row_id_1,zone_1,buffer_1,status_1,odd_even_1,ar_low_1,ar_high_1,row_id_2,zone_2,buffer_2,status_2,odd_even_2,ar_low_2,ar_high_2,row_id_3,zone_3,buffer_3,status_3,odd_even_3,ar_low_3,ar_high_3,row_id_4,zone_4,buffer_4,status_4,odd_even_4,ar_low_4,ar_high_4,row_id_5,zone_5,buffer_5,status_5,odd_even_5,ar_low_5,ar_high_5,row_id_6,zone_6,buffer_6,status_6,odd_even_6,ar_low_6,ar_high_6,geom,geomtext
111539,Zone Only,W,BARRY,AVE,,4061,1386,Zone,ACTIVE,E,5402,5454,4835,1386,Zone,ACTIVE,O,5401,5445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0105000020E610000001000000010200000007000000E801D6E9BCF055C06C9EF67DE9F74440A95A3E09C2F055C06BCE2A60E9F74440E68A21AFC4F055C0D9EC4551E9F74440C48CCEE3C6F055C0DECDC844E9F74440C453BA13C8F055C009B30F3EE9F7444036F41146CDF055C0A6CC8D1FE9F74440AA399406D1F055C08CD82F09E9F74440,"MULTILINESTRING((-87.7615303602139 41.9368131117052,-87.7618430241515 41.9368095597282,-87.7620046451153 41.936807784217,-87.7621392743195 41.9368062954415,-87.7622117347337 41.9368054939897,-87.7625289130527 41.9368018572216,-87.7627579162132 41.9367991908667))"
111538,Zone Only,W,BARRY,AVE,,7876,1704,Zone,ACTIVE,E,5214,5258,7875,1704,Zone,ACTIVE,O,5215,5257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0105000020E610000001000000010200000009000000F8BA01896CF055C07829A38DEBF74440DF91759076F055C071A49547EBF7444085725A1377F055C0D65C0344EBF74440EC70F47479F055C0959A4234EBF744407820765F7CF055C0473E8121EBF74440AB933CCD80F055C003EC5807EBF74440E140349284F055C0C4512EEFEAF74440A369B4E189F055C0D01EFFCBEAF744407E24027894F055C0E7FE3485EAF74440,"MULTILINESTRING((-87.7566244618318 41.9368760153474,-87.7572365902083 41.9368676644016,-87.7572677977824 41.9368672386569,-87.7574131381149 41.9368653607573,-87.7575911191542 41.9368631249495,-87.7578614322253 41.9368600067319,-87.7580914984024 41.9368571258706,-87.7584156286089 41.9368529315667,-87.7590618153499 41.9368444927948))"
111537,Zone Only,W,FLETCHER,ST,,1355,948,Zone,ACTIVE,E,5200,5298,5441,948,Zone,ACTIVE,O,5201,5299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0105000020E6100000010000000102000000090000002C3B131C6DF055C03189E47509F84440220AF9C473F055C03B6A064A09F8444043F5FC0F77F055C07464273209F844409BD56FCF78F055C01A587B2509F844405B9D591C7EF055C0B2C14BFF08F84440ADC5713084F055C06B69F4D608F84440FED1183A89F055C09AD45BBB08F844402FB07FBB8DF055C0198E3F9A08F84440675CBF0195F055C0AC9B6F6908F84440,"MULTILINESTRING((-87.7566595256619 41.9377887121103,-87.7570660049464 41.9377834826778,-87.757266995458 41.9377806370111,-87.7573736755498 41.9377791263834,-87.7576971888679 41.9377745742708,-87.7580681906754 41.9377697652261,-87.7583756677995 41.937766475524,-87.7586506602245 41.9377625284507,-87.7590946549186 41.937756709572))"
111536,Zone Only,N,LUNA,AVE,,1839,1045,Zone,ACTIVE,E,2900,2960,6027,1045,Zone,ACTIVE,O,2901,2959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0105000020E61000000100000001020000000500000013DD1419F7F055C0B4CAD95F70F744404FC55C5FF7F055C04453E1F080F74440BBC17996F7F055C0A86BC2598DF744402035FFE7F7F055C0B379668D9FF74440D6944A22F8F055C002157F44ACF74440,"MULTILINESTRING((-87.7650816634889 41.9331168950497,-87.7650984197582 41.9336224651547,-87.7651115597754 41.9340011786765,-87.765130995966 41.9345566511505,-87.765144894441 41.9349446888464))"
111535,Zone Only,N,LINDER,AVE,,2068,1102,Zone,ACTIVE,E,2900,2998,6002,1102,Zone,ACTIVE,O,2901,2999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0105000020E6100000010000000102000000050000001457F6F8E2F055C0312877D370F74440C6075640E3F055C07A57DFB180F7444099E9747CE3F055C039FAB8F58DF74440DB3311CCE3F055C035F01AF59EF74440A789830AE4F055C024CEF5C3ACF74440,"MULTILINESTRING((-87.7638533025423 41.9331306773969,-87.7638703193798 41.9336149540458,-87.7638846532558 41.9340197709284,-87.76390363388 41.9345384961638,-87.7639185223148 41.9349598837109))"
111534,Zone Only,N,LOTUS,AVE,,1819,1250,Zone,ACTIVE,E,2900,2998,6018,1250,Zone,ACTIVE,O,2901,2999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0105000020E610000001000000010200000006000000C28E9BDECEF055C01666714871F7444006267B1CCFF055C0A0FD27A87DF744408E246B49CFF055C03A47862D87F74440F3C5A57CCFF055C02468A2F091F7444066162CBDCFF055C07BB0C40BA0F74440A373B6F3CFF055C06D4A1242ADF74440,"MULTILINESTRING((-87.7626263159864 41.9331446222024,-87.762641067755 41.9335222430484,-87.7626517816845 41.9338127999931,-87.7626639956359 41.9341412346842,-87.7626793795149 41.9345717153928,-87.7626923829799 41.934974917346))"
111533,Zone Only,N,LUNA,AVE,,1840,1101,Zone,ACTIVE,E,3000,3098,5779,1101,Zone,ACTIVE,O,3001,3099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0105000020E61000000100000001020000000A000000D6944A22F8F055C002157F44ACF74440BAE2116BF8F055C06EF95D24BCF74440FEF45F98F8F055C06C8A0CE0C6F74440CAFDCAB5F8F055C069AD7794CFF74440984415D1F8F055C0455DFE0DD4F74440B61B16DAF8F055C0F2ECFC08D6F74440869863F3F8F055C01247272CDBF7444035AFE30CF9F055C07F1F3145E0F74440C7B5BC17F9F055C0008E3897E2F7444048802D31F9F055C05CD07108E8F74440,"MULTILINESTRING((-87.765144894441 41.9349446888464,-87.7651622461953 41.9354291399821,-87.7651730477409 41.9357566891893,-87.7651800615633 41.9360223373759,-87.7651865680403 41.9361588947309,-87.7651887145902 41.9362193331707,-87.7651947472205 41.9363761131082,-87.7652008269768 41.9365316858157,-87.7652034132835 41.9366024995943,-87.7652094787928 41.936768584798))"
111532,Zone Only,N,LINDER,AVE,,2069,1162,Zone,ACTIVE,E,3000,3098,6003,1162,Zone,ACTIVE,O,3001,3099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0105000020E610000001000000010200000008000000A789830AE4F055C024CEF5C3ACF744400CA8BC45E4F055C0532A5ADCB9F744404A6C6E75E4F055C03ADB630BC5F7444041C261A9E4F055C053480D48D0F744403022F6B9E4F055C066386BDCD3F74440F8A389FBE4F055C0ECE13764E2F74440D705A3FFE4F055C07C5EC34CE3F74440947D1119E5F055C0F0E74C87E8F74440,"MULTILINESTRING((-87.7639185223148 41.9349598837109,-87.763932642207 41.9353595199833,-87.7639440134382 41.935700820692,-87.7639563994098 41.936043745504,-87.7639603522919 41.9361529849564,-87.7639759868761 41.9365964196075,-87.7639769641895 41.9366241411162,-87.7639830275351 41.9367837071912))"
111531,Zone Only,N,LOTUS,AVE,,1820,1251,Zone,ACTIVE,E,3000,3098,5773,1251,Zone,ACTIVE,O,3001,3099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0105000020E610000001000000010200000008000000A373B6F3CFF055C06D4A1242ADF7444079B9C41AD0F055C027F718B8B6F74440642DE13BD0F055C0B1EFE7FCBEF74440B6E8B35CD0F055C044D9C9EFC5F74440ECA0E86ED0F055C098946877CFF744404F4515BAD0F055C072C6E4A4D9F744403B2191E4D0F055C0A4552831E2F74440AA399406D1F055C08CD82F09E9F74440,"MULTILINESTRING((-87.7626923829799 41.934974917346,-87.762701694597 41.9352636453535,-87.7627095889089 41.9355159885885,-87.7627174145626 41.935728047904,-87.762721755196 41.9360188732764,-87.7627396781656 41.9363294713084,-87.7627498070987 41.9365903326937,-87.7627579162132 41.9367991908667))"
101768,Zone Only,W,HOLLYWOOD,AVE,,1907,65,Zone,ACTIVE,E,1552,1554,5471,65,Zone,ACTIVE,O,1553,1555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0105000020E610000001000000010200000003000000ADBD85BAD2EA55C0B9EFA4B718FE44403CFDC743DBEA55C0BAAC3D7018FE44406EB34600DFEA55C090A8005318FE4440,"MULTILINESTRING((-87.6691118532242 41.9851293139795,-87.669632859518 41.985120802035,-87.6698609056891 41.9851173165526))"
